# Pathway	FF05293385_Abundance
UNMAPPED	1880227.7676996342
UNINTEGRATED	1184700.3937660591
UNINTEGRATED|unclassified	996738.6695209241
UNINTEGRATED|g__Dorea.s__Dorea_sp_5_2	55913.6971749728
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	39374.5507313487
UNINTEGRATED|g__Oscillibacter.s__Oscillibacter_sp_1_3	36345.0278409994
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_28_4	24153.3002470634
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_M18_1	20642.4472380748
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	20472.3999308909
UNINTEGRATED|g__Acetatifactor.s__Acetatifactor_muris	19221.0278007509
UNINTEGRATED|g__Enterorhabdus.s__Enterorhabdus_caecimuris	4252.8218656722
PWY-5686: UMP biosynthesis I	1617.9778403321
PWY-5686: UMP biosynthesis I|unclassified	1570.8105950493
PWY-7790: UMP biosynthesis II	1617.9778403321
PWY-7790: UMP biosynthesis II|unclassified	1570.8105950493
PWY-7791: UMP biosynthesis III	1617.9778403321
PWY-7791: UMP biosynthesis III|unclassified	1570.8105950493
TRNA-CHARGING-PWY: tRNA charging	1548.2534863267
TRNA-CHARGING-PWY: tRNA charging|unclassified	1458.5044533330
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	1444.1819846188
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	1431.4104388537
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	9.2008280059
PWY-3841: folate transformations II (plants)	1428.1756817748
PWY-3841: folate transformations II (plants)|unclassified	1404.6008493496
PWY-6609: adenine and adenosine salvage III	1416.2626620213
PWY-6609: adenine and adenosine salvage III|unclassified	1377.7310800671
PWY-6609: adenine and adenosine salvage III|g__Enterorhabdus.s__Enterorhabdus_caecimuris	11.8682236876
PWY-6609: adenine and adenosine salvage III|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_M18_1	7.3622476945
PWY-6700: queuosine biosynthesis I (de novo)	1410.1594048719
PWY-6700: queuosine biosynthesis I (de novo)|unclassified	1391.6511775388
PWY-1042: glycolysis IV	1347.7299605059
PWY-1042: glycolysis IV|unclassified	1269.1545592707
VALSYN-PWY: L-valine biosynthesis	1296.4738361992
VALSYN-PWY: L-valine biosynthesis|unclassified	1153.5073148512
VALSYN-PWY: L-valine biosynthesis|g__Bacteroides.s__Bacteroides_thetaiotaomicron	9.6407306185
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	1127.7940909444
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|unclassified	1023.3876488564
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II|g__Oscillibacter.s__Oscillibacter_sp_1_3	17.5114515506
