# Pathway	FF05293381_Abundance
UNMAPPED	1938672.3772947849
UNINTEGRATED	1288003.8410867080
UNINTEGRATED|unclassified	924298.7877022233
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_johnsonii	124218.5354928375
UNINTEGRATED|g__Lactobacillus.s__Lactobacillus_reuteri	41845.4423721768
UNINTEGRATED|g__Bacteroides.s__Bacteroides_thetaiotaomicron	19987.0725150863
UNINTEGRATED|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_M18_1	10481.0928247342
UNINTEGRATED|g__Enterorhabdus.s__Enterorhabdus_caecimuris	8880.0796897016
UNINTEGRATED|g__Parasutterella.s__Parasutterella_excrementihominis	3020.6955093669
PWY-3841: folate transformations II (plants)	1775.4440010111
PWY-3841: folate transformations II (plants)|unclassified	1523.8911734106
PWY-3841: folate transformations II (plants)|g__Lactobacillus.s__Lactobacillus_johnsonii	177.6730993127
PWY-3841: folate transformations II (plants)|g__Lactobacillus.s__Lactobacillus_reuteri	39.8421726884
TRNA-CHARGING-PWY: tRNA charging	1657.8619674342
TRNA-CHARGING-PWY: tRNA charging|unclassified	1347.8471800344
TRNA-CHARGING-PWY: tRNA charging|g__Lactobacillus.s__Lactobacillus_johnsonii	200.4927428120
TRNA-CHARGING-PWY: tRNA charging|g__Lactobacillus.s__Lactobacillus_reuteri	46.5236648441
PWY-5686: UMP biosynthesis I	1651.1652470152
PWY-5686: UMP biosynthesis I|unclassified	1365.3378356726
PWY-5686: UMP biosynthesis I|g__Lactobacillus.s__Lactobacillus_johnsonii	192.2999683101
PWY-5686: UMP biosynthesis I|g__Lactobacillus.s__Lactobacillus_reuteri	58.7839557535
PWY-7790: UMP biosynthesis II	1651.1652470152
PWY-7790: UMP biosynthesis II|unclassified	1365.3378356726
PWY-7790: UMP biosynthesis II|g__Lactobacillus.s__Lactobacillus_johnsonii	192.2999683101
PWY-7790: UMP biosynthesis II|g__Lactobacillus.s__Lactobacillus_reuteri	58.7839557535
PWY-7791: UMP biosynthesis III	1651.1652470152
PWY-7791: UMP biosynthesis III|unclassified	1365.3378356726
PWY-7791: UMP biosynthesis III|g__Lactobacillus.s__Lactobacillus_johnsonii	192.2999683101
PWY-7791: UMP biosynthesis III|g__Lactobacillus.s__Lactobacillus_reuteri	58.7839557535
PWY-6700: queuosine biosynthesis I (de novo)	1600.7024285646
PWY-6700: queuosine biosynthesis I (de novo)|unclassified	1553.9630140687
PWY-6700: queuosine biosynthesis I (de novo)|g__Parasutterella.s__Parasutterella_excrementihominis	9.9024199160
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	1453.7341759678
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|unclassified	1190.1050342799
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lactobacillus.s__Lactobacillus_johnsonii	202.5489469898
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis|g__Lactobacillus.s__Lactobacillus_reuteri	40.9333941503
PWY-5695: inosine 5'-phosphate degradation	1397.4981022982
PWY-5695: inosine 5'-phosphate degradation|unclassified	1039.8312855667
PWY-5695: inosine 5'-phosphate degradation|g__Lactobacillus.s__Lactobacillus_reuteri	57.0238653042
PWY-6609: adenine and adenosine salvage III	1319.4625593188
PWY-6609: adenine and adenosine salvage III|unclassified	1027.4059433927
PWY-6609: adenine and adenosine salvage III|g__Lactobacillus.s__Lactobacillus_reuteri	45.9476882288
PWY-6609: adenine and adenosine salvage III|g__Lachnospiraceae_unclassified.s__Lachnospiraceae_bacterium_M18_1	8.5038685636
PWY-7221: guanosine ribonucleotides de novo biosynthesis	1259.8760183634
PWY-7221: guanosine ribonucleotides de novo biosynthesis|unclassified	1005.7893127846
PWY-7221: guanosine ribonucleotides de novo biosynthesis|g__Lactobacillus.s__Lactobacillus_reuteri	29.2906232104
PWY-1042: glycolysis IV	1174.3968589624
PWY-1042: glycolysis IV|unclassified	1011.1474993605
